#  allMAMErenamed 0.1 > 0.290git
#  =====================================================================
#  All MAME sets renamed, from the first version, in alphabetical order.
#
#
#  © 2026 AntoPISA
#
==================================================================================================================
| mameID  | Old Name                                 | New Name                                 | Renamed In |   |
|     806 | alexkidd                                 | alexkid1                                 |       0.92 | M |
|    6028 | alienar                                  | alienaru                                 |    0.104u5 | M |
|   13210 | alienfnt                                 | alienfnta                                |      0.144 | M |
|    1047 | alieninv                                 | alieninvp2                               |    0.136u4 | M |
|    1952 | aliensy1                                 | aliensyn1                                |    0.133u1 | M |
|    1538 | aliensy2                                 | aliensyn2                                |    0.133u1 | M |
|    1539 | aliensy3                                 | aliensyn3                                |    0.133u1 | M |
|    1538 | aliensya                                 | aliensy2                                 |       0.92 | M |
|    1539 | aliensyb                                 | aliensy3                                 |       0.92 | M |
|    1952 | aliensyj                                 | aliensy1                                 |       0.92 | M |
|    1952 | aliensyn1                                | aliensynjo                               |    0.134u4 | M |
|    3617 | aligator                                 | aligators                                |      0.190 | M |
|    3618 | aligatun                                 | aligatorun                               |    0.133u1 | M |
|    3256 | alphaona                                 | alphaonea                                |    0.133u1 | M |
|    8459 | alpilota                                 | alpilotj                                 |      0.187 | M |
|    8411 | alpiltdx                                 | alpilot                                  |      0.187 | M |
|   45474 | alpinesa                                 | alpines                                  |      0.250 | M |
|    5070 | altb8751                                 | altbeas5                                 |       0.92 | M |
|    1953 | altbeaj1                                 | altbeastj1                               |    0.133u1 | M |
|    5329 | altbeaj3                                 | altbeastj3                               |    0.133u1 | M |
|     499 | altbeas2                                 | altbeast2                                |    0.133u1 | M |
|    1476 | altbeas2                                 | altbeas4                                 |       0.92 | M |
|    1476 | altbeas4                                 | altbeast4                                |    0.133u1 | M |
|    5070 | altbeas5                                 | altbeast5                                |    0.133u1 | M |
|    5332 | altbeasa                                 | altbeast                                 |       0.92 | M |
|    5071 | altbeasj                                 | altbeastj                                |    0.133u1 | M |
|     499 | altbeast                                 | altbeas2                                 |       0.92 | M |
|    1476 | altbeast                                 | altbeas2                                 |     0.36b1 | M |
|    5070 | altbeast5                                | altbeast6                                |    0.145u2 | M |
|    8837 | altbeastj2                               | altbeast5                                |    0.145u2 | M |
|    8328 | am_mg3                                   | am_mg3g                                  |      0.280 | M |
|   19472 | am_mg3a                                  | am_mg3ga                                 |      0.280 | M |
|    8338 | am_uslot                                 | suprstar                                 |    0.145u8 | M |
|    3991 | ambush                                   | ambushh                                  |      0.149 | M |
|    1100 | ambush                                   | ambushj                                  |    0.138u1 | M |
|    3991 | ambusht                                  | ambush                                   |    0.138u1 | M |
|    5720 | amerdar2                                 | amerdart2                                |    0.133u1 | M |
|   30337 | americnaa                                | americnaa                                |      0.165 | M |
|      32 | amidar                                   | amidar1                                  |    0.142u4 | M |
|      39 | amidar                                   | amidaru                                  |     0.35b8 | M |
|      32 | amidar                                   | amidarjp                                 |       0.14 | M |
|      32 | amidarjp                                 | amidar                                   |     0.35b8 | M |
|      39 | amidarus                                 | amidar                                   |       0.14 | M |
|   31047 | amiga_ar1                                | zorro_ar1                                |      0.216 | D |
|   31048 | amiga_ar2                                | zorro_ar2                                |      0.216 | D |
|   31049 | amiga_ar3                                | zorro_ar3                                |      0.216 | D |
|   44822 | amiga_copper                             | agnus_copper                             |      0.274 | D |
|   31050 | amiga_dmac                               | amiga_dmac_rev1                          |      0.275 | D |
|   31051 | amiga_fdc                                | paula_fdc                                |      0.274 | D |
|   29023 | amiga_paula                              | paula_8364                               |      0.183 | D |
|   37476 | amigakbd                                 | a500_kbd_us                              |      0.182 | D |
|    5738 | ampkr2b1                                 | ampkr2b3                                 |    0.120u4 | M |
|    5739 | ampokr2a                                 | ampkr2b2                                 |    0.120u4 | M |
|    5740 | ampokr2b                                 | ampoker2                                 |    0.120u4 | M |
|    5771 | ampokr2c                                 | pkrdewin                                 |    0.120u4 | M |
|   40996 | amsterda                                 | amsterdg                                 |      0.262 | M |
|   36277 | amzqnar                                  | amzqueen                                 |      0.175 | M |
|   36278 | amzteml                                  | amztempl                                 |      0.175 | M |
|    9182 | andretti                                 | andretti0                                |      0.245 | M |
|    9183 | andretti4                                | andretti                                 |      0.245 | M |
|   36188 | androidp                                 | androidpo                                |      0.173 | M |
|    7570 | anibonus                                 | anibonusxo                               |    0.133u2 | M |
|    7575 | anibonus2                                | anibonuso                                |    0.133u2 | M |
|    7581 | anibonus3                                | anibonusxo2                              |    0.133u2 | M |
|    7582 | anibonus4                                | anibonusxo3                              |    0.133u2 | M |
|    7576 | anibonus5                                | anibonuso2                               |    0.133u2 | M |
|    7577 | anibonus6                                | anibonuso3                               |    0.133u2 | M |
|    7571 | anibonusb                                | anibonusb1                               |    0.133u2 | M |
|    7573 | anibonusd                                | anibonusd1                               |    0.133u2 | M |
|    7578 | anibonusv                                | anibonusv1                               |    0.133u2 | M |
|    7570 | anibonusv3                               | anibonus                                 |    0.133u2 | M |
|    5703 | animaljr                                 | animaljrs                                |    0.138u3 | M |
|   45203 | animalw                                  | animalwbl                                |      0.278 | M |
|   48869 | animalwa                                 | lucky8t                                  |      0.280 | M |
|    7583 | anithunt                                 | anithunto                                |    0.133u2 | M |
|    7586 | anithunt2                                | anithunto2                               |    0.133u2 | M |
|    7583 | anithuntb                                | anithunt                                 |    0.133u2 | M |
|    7584 | anithuntd                                | anithuntd1                               |    0.133u2 | M |
|    7587 | anithuntv                                | anithuntv1                               |    0.133u2 | M |
|   10667 | antcleo                                  | antcleom                                 |      0.175 | M |
|   10667 | antcleom                                 | antcleoa                                 |      0.254 | M |
|    4952 | anteatg                                  | anteaterg                                |    0.141u4 | M |
|    5430 | anteatgb                                 | anteateruk                               |    0.141u4 | M |
|    7820 | apache3a                                 | apache3b                                 |      0.200 | M |
|     539 | apb                                      | apb5                                     |     0.76u1 | M |
|     706 | apb2                                     | apb4                                     |     0.76u1 | M |
|   31082 | apple_fdc                                | apple_fdcl                               |      0.222 | D |
|    3026 | aquajckj                                 | aquajackj                                |    0.133u1 | M |
|    3495 | aquarium                                 | aquariumj                                |      0.169 | M |
|    5400 | ar_ldrb                                  | ar_ldrba                                 |    0.148u2 | M |
|    5401 | ar_ldrba                                 | ar_ldrb                                  |    0.148u2 | M |
|    3619 | arabfgt                                  | arabfgtu                                 |    0.102u4 | M |
|    2555 | arabiamj                                 | arabianmj                                |    0.133u1 | M |
|    2556 | arabiamu                                 | arabianmu                                |    0.133u1 | M |
|      99 | arabian                                  | arabiana                                 |    0.35b13 | M |
|   29455 | arac6000                                 | arac6k27                                 |      0.256 | M |
|   42332 | arac6spa                                 | arac6k28sp                               |      0.256 | M |
|    1129 | ararmy                                   | roboarmy                                 |     0.35b3 | M |
|   36282 | arbngts                                  | arabnga6u                                |      0.175 | M |
|   36281 | arbnigar                                 | arabnga6                                 |      0.175 | M |
|   31118 | arca5                                    | arc_a5                                   |      0.186 | D |
|    3148 | arcadia                                  | warcadia                                 |    0.141u1 | M |
|    1902 | archriv2                                 | archrivl2                                |    0.133u1 | M |
|    1902 | archrivl2                                | archrivla                                |      0.150 | M |
|   18734 | arctthndult                              | ultarctc                                 |      0.161 | M |
|   10478 | arcwins                                  | arcwinsa                                 |      0.273 | M |
|    4934 | area51                                   | area51t                                  |     0.82u1 | M |
|    3496 | area51                                   | area51a                                  |     0.79u2 | M |
|    4808 | area51t                                  | area51ta                                 |      0.161 | M |
|    4837 | arescue                                  | arescueu                                 |      0.200 | M |
|    1795 | ark2jp                                   | arknid2j                                 |       0.56 | M |
|     853 | ark2us                                   | arknid2u                                 |       0.56 | M |
|     808 | arkanoi2                                 | arknoid2                                 |       0.56 | M |
|    1461 | arkanoidj                                | arkanoidja                               |      0.155 | M |
|     349 | arkanoidjb                               | arkanoidjbl                              |      0.155 | M |
|   19602 | arkanoidjb2                              | arkanoidjbl2                             |      0.155 | M |
|   10686 | arkanoidjo                               | arkanoidjb                               |      0.155 | M |
|     350 | arkatayt                                 | arktayt2                                 |    0.108u4 | M |
|     349 | arkbl2                                   | arkmcubl                                 |    0.108u3 | M |
|    3317 | arkbl3                                   | arkgcbl                                  |    0.108u3 | M |
|    1644 | arkbloc2                                 | arkblock                                 |    0.108u3 | M |
|    3316 | arkblock                                 | arkbloc2                                 |    0.108u3 | M |
|     349 | arkmcubl                                 | arkanoidjb                               |    0.143u2 | M |
|    1795 | arknid2j                                 | arknoid2j                                |    0.133u1 | M |
|     853 | arknid2u                                 | arknoid2u                                |    0.133u1 | M |
|    1461 | arknoidj                                 | arkanoidj                                |    0.133u1 | M |
|     264 | arknoidu                                 | arkanoidu                                |    0.133u1 | M |
|    3963 | arknoiuo                                 | arkanoiduo                               |    0.133u1 | M |
|    2557 | arkretrn                                 | arkretrnj                                |    0.148u4 | M |
|   31125 | arm                                      | arm_le                                   |      0.186 | D |
|   31127 | arm7                                     | arm7_le                                  |      0.186 | D |
|   31125 | arm_le                                   | arm_cpu                                  |      0.249 | D |
|    5981 | armchm2o                                 | armchmp2o                                |    0.133u1 | M |
|    6226 | armchmp2                                 | armchmp2o2                               |      0.203 | M |
|    5981 | armchmp2                                 | armchm2o                                 |    0.107u3 | M |
|    1261 | armedf                                   | armedff                                  |      0.138 | M |
|     893 | armorca2                                 | armorcar2                                |    0.133u1 | M |
|    3150 | armwar                                   | armwarr1                                 |     0.78u3 | M |
|    2901 | armwar                                   | armwaru                                  |       0.56 | M |
|    2900 | armwara                                  | armwarar1                                |      0.155 | M |
|     638 | artfight                                 | aof                                      |     0.35b3 | M |
|    2123 | ashura                                   | ashuraj                                  |      0.131 | M |
|    6235 | astdelu1                                 | astdelux1                                |    0.133u1 | M |
|    1102 | astdelu1                                 | astdelu2                                 |    0.107u4 | M |
|    1102 | astdelu2                                 | astdelux2                                |    0.133u1 | M |
|     200 | asteroi1                                 | asteroid1                                |    0.133u1 | M |
|     148 | asteroi2                                 | asteroid2                                |    0.133u1 | M |
|     148 | asteroi2                                 | asteroid                                 |     0.33b7 | M |
