#  allMAMEremoved 0.1 > 0.266
#  ================================================================
#  All sets removed, from the first version, in alphabetical order.
#
#
#  (C) 2024 AntoPISA
#
============================================================================================================================================
| mameID            | Name Set                                   | Added In           | Removed In             |  ReAdded In       | Type  |
|              5011 | gt103a                                     | 0.84               | 0.132u4                |                   | M     |
|              6297 | gt103a4                                    | 0.109u4            | 0.132u4                |                   | M     |
|             10384 | gtfrk10mb                                  | 0.141u3            | 0.255                  |                   | M     |
|             45388 | gtfrk11ma                                  | 0.248              | 0.255                  |                   | M     |
|              9561 | gts1s                                      | 0.141u1            | 0.237                  |                   | B     |
|             19573 | gtsers10a                                  | 0.146              | 0.165                  |                   | M     |
|              8138 | guab21                                     | 0.132u1            | 0.164                  |                   | M     |
|              8139 | guab3a                                     | 0.132u1            | 0.164                  |                   | M     |
|              8140 | guab4                                      | 0.132u1            | 0.164                  |                   | M     |
|              8141 | guab43                                     | 0.132u1            | 0.164                  |                   | M     |
|              8142 | guab6                                      | 0.132u1            | 0.164                  |                   | M     |
|              8143 | guab6a                                     | 0.132u1            | 0.164                  |                   | M     |
|              8144 | guab7                                      | 0.132u1            | 0.164                  |                   | M     |
|             32189 | h46505                                     | 0.162              | 0.210                  |                   | D     |
|             32193 | h8_adc_2320                                | 0.162              | 0.264                  |                   | D     |
|             32232 | hbf1xdm2                                   | 0.162              | 0.250                  |                   | M     |
|             32247 | hbf9sp                                     | 0.162              | 0.250                  |                   | M     |
|             36206 | hd63484l                                   | 0.172              | 0.174                  |                   | D     |
|              6952 | hetbrlu2                                   | 0.122u6            | 0.122u7                |                   | M     |
|             39974 | hlekbd                                     | 0.204              | 0.255                  |                   | D     |
|             32296 | hotbit12                                   | 0.162              | 0.250                  |                   | M     |
|             36408 | hp_optrom_slot                             | 0.173              | 0.216                  |                   | D     |
|             38627 | hp80_optrom_slot                           | 0.190              | 0.216                  |                   | D     |
|             41270 | hp9825_optrom_cart                         | 0.215              | 0.216                  |                   | D     |
|             40694 | hpc3g                                      | 0.210              | 0.211                  |                   | D     |
|               137 | hunchy                                     | 0.25               | 0.33b7                 |                   | M     |
|             32355 | hx21i                                      | 0.162              | 0.250                  |                   | M     |
|             32360 | hx23i                                      | 0.162              | 0.250                  |                   | M     |
