MAMEIDs 0.289 (July 31, 2026)
===============================================================================================================================================================================================================================
'mameID' it is an unequivocally identifies each machine/bios/device added to the MAME with a simple number ====================================================================================================================
===============================================================================================================================================================================================================================
|mameID | SET                             | DESCRIPTION                                                                                                                                                            |   TYPE   |
| 33834 | pci_connector                   | PCI device connector abstraction                                                                                                                                       | mess     |
| 30503 | pci_root                        | PCI virtual root                                                                                                                                                       | mess     |
| 47042 | pci_slot                        | PCI extension motherboard port                                                                                                                                         | mess     |
| 41586 | pci48af                         | PCI48AF                                                                                                                                                                | mess     |
| 30714 | pci9050                         | PLX PCI9050 PCI to Local Bus Bridge                                                                                                                                    | arcade   |
| 46402 | pciagp                          | Sandbox PCI/AGP PC (440BX)                                                                                                                                             | mess     |
| 37062 | pcipc                           | Sandbox PCI PC (430HX)                                                                                                                                                 | mess     |
| 47382 | pcipcs7                         | Sandbox PCI PC (430HX, Socket 7 CPU)                                                                                                                                   | mess     |
| 37259 | pcipctx                         | Sandbox PCI PC (430TX)                                                                                                                                                 | mess     |
| 33835 | pcjr_graphics                   | IBM PCjr built-in video                                                                                                                                                | mess     |
| 41318 | pck486dx                        | PCK 486 DX                                                                                                                                                             | mess     |
| 36508 | pckobe99                        | Print Club 2 Kobe Luminaire '99 (Print Club Custom 3) (J 991203 V1.000)                                                                                                | arcade   |
| 47446 | pcksurfer                       | Pocket Surfer (prototype)                                                                                                                                              | mess     |
|  1036 | pcktgal                         | Pocket Gal (Japan)                                                                                                                                                     | arcade   |
|  1193 | pcktgal2                        | Pocket Gal 2 (English)                                                                                                                                                 | arcade   |
|  6266 | pcktgal2j                       | Pocket Gal 2 (Japanese)                                                                                                                                                | arcade   |
|  1037 | pcktgalb                        | Pocket Gal (Yada East bootleg)                                                                                                                                         | arcade   |
| 45741 | pcktgalba                       | Pocket Gal / unknown card game                                                                                                                                         | arcade   |
| 18744 | pclb2elk                        | Print Club 2 Earth Limited Kobe (Print Club Custom) (J 970808 V1.000)                                                                                                  | arcade   |
| 36151 | pclove                          | Print Club LoveLove (J 970421 V1.000)                                                                                                                                  | arcade   |
| 36152 | pclove2                         | Print Club LoveLove Ver 2 (J 970825 V1.000)                                                                                                                            | arcade   |
| 38565 | pclub                           | Print Club (World)                                                                                                                                                     | arcade   |
|  8438 | pclub2                          | Print Club 2 (U 970921 V1.000)                                                                                                                                         | arcade   |
| 36153 | pclub26w                        | Print Club 2 Vol. 6 Winter (J 961210 V1.000)                                                                                                                           | arcade   |
| 36509 | pclub26wa                       | Print Club 2 Vol. 6 Winter (J 970121 V1.200)                                                                                                                           | arcade   |
| 36154 | pclub27s                        | Print Club 2 Vol. 7 Spring (J 970313 V1.100)                                                                                                                           | arcade   |
| 18724 | pclub2fc                        | Print Club 2 Felix The Cat (Rev. A) (J 970415 V1.100)                                                                                                                  | arcade   |
| 18725 | pclub2kc                        | Print Club Kome Kome Club (J 970203 V1.000)                                                                                                                            | arcade   |
| 36155 | pclub2pe                        | Print Club 2 Pepsiman (J 970618 V1.100)                                                                                                                                | arcade   |
| 36156 | pclub2pf                        | Print Club 2 Puffy (J V1.100)                                                                                                                                          | arcade   |
|  8439 | pclub2v3                        | Print Club 2 Vol. 3 (U 990310 V1.000)                                                                                                                                  | arcade   |
| 36157 | pclub2wb                        | Print Club 2 Warner Bros (J 970228 V1.000)                                                                                                                             | arcade   |
|  4343 | pclubj                          | Print Club (Japan Vol.1)                                                                                                                                               | arcade   |
|  4344 | pclubjv2                        | Print Club (Japan Vol.2)                                                                                                                                               | arcade   |
| 47524 | pclubjv3                        | Print Club (Japan Vol.3)                                                                                                                                               | arcade   |
|  4345 | pclubjv4                        | Print Club (Japan Vol.4)                                                                                                                                               | arcade   |
|  4346 | pclubjv5                        | Print Club (Japan Vol.5)                                                                                                                                               | arcade   |
| 18726 | pclubol                         | Print Club Olive (J 980717 V1.000)                                                                                                                                     | arcade   |
| 18727 | pclubor                         | Print Club Goukakenran (J 991104 V1.000)                                                                                                                               | arcade   |
|  8684 | pclubpok                        | Print Club Pokemon B (U 991126 V1.000)                                                                                                                                 | arcade   |
| 47525 | pclubyo                         | Print Club Yoshimoto V1 (J 970208 V1.000)                                                                                                                              | arcade   |
| 36158 | pclubyo2                        | Print Club Yoshimoto V2 (J 970422 V1.100)                                                                                                                              | arcade   |
|  5253 | pclubys                         | Puzzle Club (Yun Sung, set 1)                                                                                                                                          | arcade   |
|  5606 | pclubysa                        | Puzzle Club (Yun Sung, set 2)                                                                                                                                          | arcade   |
| 33836 | pcm                             | PC/M                                                                                                                                                                   | mess     |
| 37175 | pcm54hp                         | PCM54HP DAC                                                                                                                                                            | mess     |
| 33837 | pcmda                           | PC (MDA)                                                                                                                                                               | mess     |
| 36510 | pcmostw                         | Player's Choice - Most Wanted (20234911, NSW/ACT)                                                                                                                      | arcade   |
| 44776 | pcmx2                           | PC-MX2                                                                                                                                                                 | mess     |
| 43785 | pcnfrk                          | Percussion Freaks (GQ881 VER. EAB)                                                                                                                                     | arcade   |
| 45406 | pcnfrk10m                       | Percussion Freaks 10th Mix (G*D40 VER. AAA)                                                                                                                            | arcade   |
| 45991 | pcnfrk2m                        | Percussion Freaks 2nd Mix (GE912 VER. AAA)                                                                                                                             | arcade   |
| 40740 | pcnfrk2mk                       | Percussion Freaks 2nd Mix (GE912 VER. KAA)                                                                                                                             | arcade   |
| 45990 | pcnfrk3m                        | Percussion Freaks 3rd Mix (G*A23 VER. AAA)                                                                                                                             | arcade   |
|  6525 | pcnfrk3mk                       | Percussion Freaks 3rd Mix (G*A23 VER. KAA)                                                                                                                             | arcade   |
| 38464 | pcnfrk4m                        | Percussion Freaks 4th Mix (G*A25 VER. AAA)                                                                                                                             | arcade   |
| 43533 | pcnfrk4mk                       | Percussion Freaks 4th Mix (G*A25 VER. KAA)                                                                                                                             | arcade   |
| 44654 | pcnfrk5m                        | Percussion Freaks 5th Mix (G*B05 VER. AAA)                                                                                                                             | arcade   |
| 38363 | pcnfrk5mk                       | Percussion Freaks 5th Mix (G*B05 VER. KAA)                                                                                                                             | arcade   |
| 43858 | pcnfrk6m                        | Percussion Freaks 6th Mix (G*B16 VER. AAA)                                                                                                                             | arcade   |
| 43859 | pcnfrk7m                        | Percussion Freaks 7th Mix (G*C07 VER. AAA)                                                                                                                             | arcade   |
| 43860 | pcnfrk8m                        | Percussion Freaks 8th Mix (G*C38 VER. AAA)                                                                                                                             | arcade   |
| 45407 | pcnfrk9m                        | Percussion Freaks 9th Mix (G*D09 VER. AAA)                                                                                                                             | arcade   |
| 43786 | pcnfrka                         | Percussion Freaks (GQ881 VER. AAB)                                                                                                                                     | arcade   |
| 43787 | pcnfrkk                         | Percussion Freaks (GQ881 VER. KAB)                                                                                                                                     | arcade   |
| 37866 | pcnoppi_mb                      | PC clone motherboard (no PPI)                                                                                                                                          | mess     |
| 36511 | pcockmag                        | Peacock Magic (1J008811, NSW/ACT)                                                                                                                                      | arcade   |
| 46108 | pcockmaga                       | Peacock Magic (10134311, ASP)                                                                                                                                          | arcade   |
| 38234 | pcockmagu                       | Peacock Magic (0151352, US)                                                                                                                                            | arcade   |
| 46875 | pcompelr                        | Precomputer Elektronik (Russia)                                                                                                                                        | mess     |
| 37260 | pcorig                          | Player's Choice - Original (30143011, NSW/ACT)                                                                                                                         | arcade   |
| 43070 | pcp8718                         | PCP 8718 - HD 360 Degrees Rocker Palm Eyecare Console - 788 in 1                                                                                                       | mess     |
| 43071 | pcp8728                         | PCP 8728 - 788 in 1                                                                                                                                                    | mess     |
| 36766 | pcplat                          | Player's Choice - Platinum (20282111, New Zealand)                                                                                                                     | arcade   |
| 36512 | pcpooh2                         | Print Club Winnie-the-Pooh Vol. 2 (J 971218 V1.000)                                                                                                                    | arcade   |
| 36513 | pcpooh3                         | Print Club Winnie-the-Pooh Vol. 3 (J 980406 V1.000)                                                                                                                    | arcade   |
| 44886 | pcramclr                        | Player's Choice RAM Clear                                                                                                                                              | arcade   |
| 46282 | pcs30                           | PCS-30                                                                                                                                                                 | mess     |
| 41587 | pcscolor                        | PC Super Color (Spain)                                                                                                                                                 | mess     |
| 45145 | pcunlim                         | PreComputer Unlimited (USA/Canada)                                                                                                                                     | mess     |
| 41756 | pcv20                           | PC with V20 CPU                                                                                                                                                        | mess     |
| 33838 | pcvga                           | PC (VGA)                                                                                                                                                               | mess     |
| 33839 | pcw10                           | PCW10                                                                                                                                                                  | mess     |
| 33840 | pcw16                           | PcW16                                                                                                                                                                  | mess     |
| 33841 | pcw8256                         | PCW8256                                                                                                                                                                | mess     |
| 33842 | pcw8512                         | PCW8512                                                                                                                                                                | mess     |
| 33843 | pcw9256                         | PCW9256                                                                                                                                                                | mess     |
| 33844 | pcw9512                         | PCW9512                                                                                                                                                                | mess     |
| 40610 | pcw9512p                        | PCW9512 (+)                                                                                                                                                            | mess     |
| 35458 | pcx                             | PC-X                                                                                                                                                                   | mess     |
| 36514 | pcx_dmac                        | PC Transporter DMAC                                                                                                                                                    | mess     |
| 35582 | pcx_video                       | Siemens PC-X Video                                                                                                                                                     | mess     |
| 33845 | pd3_30hr                        | Micron/XCEED Technology Color 30HR                                                                                                                                     | mess     |
| 48811 | pd3_30hrint                     | Micron/XCEED Technology Color 30HR (internal grayscale)                                                                                                                | mess     |
| 33846 | pd3_c264                        | RasterOps ColorBoard 264/SE30                                                                                                                                          | mess     |
| 33847 | pd3_lviw                        | Sigma Designs L-View                                                                                                                                                   | mess     |
| 33848 | pd3_mclr                        | Micron/XCEED Technology MacroColor 30                                                                                                                                  | mess     |
| 48812 | pd3_mclrint                     | Micron/XCEED Technology MacroColor 30 (internal grayscale)                                                                                                             | mess     |
| 33849 | pd3_pc16                        | Lapis ProColor Server 8*16                                                                                                                                             | mess     |
| 48813 | pd3_pcs8                        | Lapis ProColor Server 8 (PDS)                                                                                                                                          | mess     |
| 50985 | pd32                            | PD32 coprocessor (Rand/Scolaro)                                                                                                                                        | mess     |
| 33850 | pda600                          | PenPad PDA 600                                                                                                                                                         | mess     |
| 45943 | pda600_copro                    | PDA600 Coprocessor (HLE)                                                                                                                                               | mess     |
| 41757 | pdc100                          | PDC100 - Pocket Dream Console (Anncia, US)                                                                                                                             | mess     |
| 42617 | pdc150t                         | PDC150 Tactile - Pocket Dream Console (VideoJet, France)                                                                                                               | mess     |
| 42618 | pdc200                          | PDC200 - Pocket Dream Console (VideoJet, France)                                                                                                                       | mess     |
| 47285 | pdc20262                        | Promise PDC20262 FastTrak66 EIDE controller                                                                                                                            | mess     |
| 50542 | pdc20268                        | Promise PDC20268 Ultra100TX2 EIDE controller                                                                                                                           | mess     |
| 49124 | pdc30p                          | PDC30 - Pocket Dream Console (Pink version) (VideoJet, France)                                                                                                         | mess     |
| 42619 | pdc40t                          | PDC40 Tactile - Pocket Dream Console (VideoJet, France)                                                                                                                | mess     |
| 42620 | pdc50                           | PDC50 - Pocket Dream Console (VideoJet, France)                                                                                                                        | mess     |
| 49518 | pdcj                            | PDC - Pocket Dream Console (Japan)                                                                                                                                     | mess     |
| 49375 | pdcm2                           | PDC M2                                                                                                                                                                 | mess     |
| 49667 | pdouble8                        | Premium Double Eight (V5.3FA)                                                                                                                                          | arcade   |
| 33851 | pdp1                            | PDP-1                                                                                                                                                                  | mess     |
| 33852 | pdp1_cpu                        | DEC PDP-1 Central Processor                                                                                                                                            | mess     |
| 33853 | pdp1_cylinder_image             | PDP-1 Cylinder                                                                                                                                                         | mess     |
| 33855 | pdp1_punchtape_image_device     | PDP-1 Tape Puncher                                                                                                                                                     | mess     |
| 33856 | pdp1_readtape_image             | PDP-1 Tape Reader                                                                                                                                                      | mess     |
| 33854 | pdp1_typewriter_image           | PDP-1 Typewriter                                                                                                                                                       | mess     |
| 33857 | pdp11qb                         | PDP-11 [Q-BUS] (M7195 - MXV11-B)                                                                                                                                       | mess     |
| 33858 | pdp11ub                         | PDP-11 [Unibus](M9301-YA)                                                                                                                                              | mess     |
| 33859 | pdp11ub2                        | PDP-11 [Unibus](M9312)                                                                                                                                                 | mess     |
|  5297 | pdrift                          | Power Drift (World, Rev A)                                                                                                                                             | arcade   |
|  6272 | pdrifta                         | Power Drift (World)                                                                                                                                                    | arcade   |
|  6116 | pdrifte                         | Power Drift (World, earlier)                                                                                                                                           | arcade   |
| 49125 | pdriftj                         | Power Drift (Japan, Rev C)                                                                                                                                             | arcade   |
| 50543 | pdriftja                        | Power Drift (Japan, Rev A)                                                                                                                                             | arcade   |
|  5298 | pdriftjb                        | Power Drift (Japan, Rev B)                                                                                                                                             | arcade   |
| 30410 | pdriftl                         | Power Drift - Link Version (Japan, Rev A)                                                                                                                              | arcade   |
| 40946 | pds_hyper                       | GCC HyperDrive                                                                                                                                                         | mess     |
| 33860 | pds_sefp                        | Radius SE Full Page Display                                                                                                                                            | mess     |
| 46790 | pds30_emac                      | Farallon EtherMac 30i-TH Ethernet card                                                                                                                                 | mess     |
| 46791 | pdslc_macconlc                  | Asante MacCON i LC Ethernet card                                                                                                                                       | mess     |
| 41932 | pdt3100                         | PDT 3100 (v1.10-00)                                                                                                                                                    | mess     |
| 36515 | peaflut                         | Peacock Flutter (02J00011, NSW/ACT)                                                                                                                                    | arcade   |
| 44247 | peafluta                        | Peacock Flutter (01J00011, NSW/ACT)                                                                                                                                    | arcade   |
| 44061 | peas286                         | S-286 Rev A                                                                                                                                                            | mess     |
| 46404 | pebe0013                        | Player's Edge Plus (BE0013) Blackjack                                                                                                                                  | arcade   |
|  6894 | pebe0014                        | Player's Edge Plus (BE0014) Blackjack                                                                                                                                  | arcade   |
| 30660 | pebe0014a                       | Player's Edge Plus (BE0014) Blackjack (International English/Spanish)                                                                                                  | arcade   |
|  9814 | pecmen                          | Mr. & Mrs. Pec-Men                                                                                                                                                     | arcade   |
| 33861 | pecom32                         | Pecom 32                                                                                                                                                               | mess     |
| 33862 | pecom64                         | Pecom 64                                                                                                                                                               | mess     |
|  1786 | peekaboo                        | Peek-a-Boo! (Japan, ver. 1.1)                                                                                                                                          | arcade   |
| 30068 | peekaboou                       | Peek-a-Boo! (North America, ver 1.0)                                                                                                                                   | arcade   |
|  2402 | peepshow                        | Nozokimeguri Mahjong Peep Show (Japan 890404)                                                                                                                          | arcade   |
| 46109 | pegasos2                        | PEGASOS II                                                                                                                                                             | mess     |
| 33863 | pegasus                         | Aamber Pegasus                                                                                                                                                         | mess     |
| 33864 | pegasusm                        | Aamber Pegasus with RAM expansion unit                                                                                                                                 | mess     |
|  2527 | peggle                          | Peggle (Joystick, v1.0)                                                                                                                                                | arcade   |
|  2528 | pegglet                         | Peggle (Trackball, v1.0)                                                                                                                                               | arcade   |
| 30069 | peip0028                        | Player's Edge Plus (IP0028) Joker Poker - French                                                                                                                       | arcade   |
| 30070 | peip0029                        | Player's Edge Plus (IP0029) Joker Poker - French                                                                                                                       | arcade   |
| 30071 | peip0031                        | Player's Edge Plus (IP0031) Standard Draw Poker - French                                                                                                               | arcade   |
| 29712 | peip0041                        | Player's Edge Plus (IP0041) Double Deuces Wild Poker - French                                                                                                          | arcade   |
| 30072 | peip0051                        | Player's Edge Plus (IP0051) Joker Poker - French                                                                                                                       | arcade   |
| 30073 | peip0058                        | Player's Edge Plus (IP0058) Standard Draw Poker - French                                                                                                               | arcade   |
| 30074 | peip0062                        | Player's Edge Plus (IP0062) Joker Poker - French                                                                                                                       | arcade   |
| 29481 | peip0074                        | Player's Edge Plus (IP0074) Joker Poker - French                                                                                                                       | arcade   |
| 29482 | peip0079                        | Player's Edge Plus (IP0079) Standard Draw Poker - French                                                                                                               | arcade   |
| 30075 | peip0101                        | Player's Edge Plus (IP0101) Joker Poker - French                                                                                                                       | arcade   |
| 30076 | peip0103                        | Player's Edge Plus (IP0103) Joker Poker - French                                                                                                                       | arcade   |
| 30077 | peip0105                        | Player's Edge Plus (IP0105) Joker Poker - French                                                                                                                       | arcade   |
| 30078 | peip0108                        | Player's Edge Plus (IP0108) Standard Draw Poker - French                                                                                                               | arcade   |
| 30079 | peip0111                        | Player's Edge Plus (IP0111) Joker Poker - French                                                                                                                       | arcade   |
| 30080 | peip0112                        | Player's Edge Plus (IP0112) Standard Draw Poker - French                                                                                                               | arcade   |
| 30081 | peip0114                        | Player's Edge Plus (IP0114) Standard Draw Poker - French                                                                                                               | arcade   |
| 30082 | peip0115                        | Player's Edge Plus (IP0115) Joker Poker - French                                                                                                                       | arcade   |
| 30083 | peip0116                        | Player's Edge Plus (IP0116) Standard Draw Poker - French                                                                                                               | arcade   |
| 30084 | peip0118                        | Player's Edge Plus (IP0118) Standard Draw Poker - French                                                                                                               | arcade   |
| 30085 | peip0120                        | Player's Edge Plus (IP0120) Standard Draw Poker - French                                                                                                               | arcade   |
| 30504 | peivc006                        | Player's Edge Plus (IVC006) Clear EEPROM Chip                                                                                                                          | arcade   |
| 35691 | peke0004                        | Player's Edge Plus (KE0004) Keno (set 1)                                                                                                                               | arcade   |
| 44667 | peke0004a                       | Player's Edge Plus (KE0004) Keno (set 2)                                                                                                                               | arcade   |
| 44668 | peke0004b                       | Player's Edge Plus (KE0004) Keno (set 3)                                                                                                                               | arcade   |
| 30505 | peke0017                        | Player's Edge Plus (KE0017) Keno (set 1)                                                                                                                               | arcade   |
| 44669 | peke0017a                       | Player's Edge Plus (KE0017) Keno (set 2)                                                                                                                               | arcade   |
| 46405 | peke0026                        | Player's Edge Plus (KE0026) Keno                                                                                                                                       | arcade   |
| 35843 | peke1001                        | Player's Edge Plus (KE1001) Keno                                                                                                                                       | arcade   |
| 35692 | peke1006                        | Player's Edge Plus (KE1006) Keno                                                                                                                                       | arcade   |
| 35844 | peke1012                        | Player's Edge Plus (KE1012) Keno (set 1)                                                                                                                               | arcade   |
| 35459 | peke1012a                       | Player's Edge Plus (KE1012) Keno (set 2)                                                                                                                               | arcade   |
|  6895 | peke1012b                       | Player's Edge Plus (KE1012) Keno (set 3)                                                                                                                               | arcade   |
| 35693 | peke1013                        | Player's Edge Plus (KE1013) Keno (set 1)                                                                                                                               | arcade   |
| 29300 | peke1013a                       | Player's Edge Plus (KE1013) Keno (set 2)                                                                                                                               | arcade   |
| 30086 | pekoc766                        | Player's Edge Plus (PP0766 A5W-A6F) Standard Draw Poker                                                                                                                | arcade   |
| 30087 | pekoc801                        | Player's Edge Plus (PP0801 A5W-A6F) 10's or Better                                                                                                                     | arcade   |
| 30088 | pekoc802                        | Player's Edge Plus (PP0802 A5W-A6F) Standard Draw Poker                                                                                                                | arcade   |
| 30089 | pekoc803                        | Player's Edge Plus (PP0803 A5W-A6F) Joker Poker                                                                                                                        | arcade   |
| 30090 | pekoc803a                       | Player's Edge Plus (PP0803 A50-A6N) Joker Poker                                                                                                                        | arcade   |
| 30091 | pekoc804                        | Player's Edge Plus (PP0804 A5W-A6F) Bonus Poker Deluxe                                                                                                                 | arcade   |
| 30092 | pekoc806                        | Player's Edge Plus (PP0806 A5W-A6F) Standard Draw Poker                                                                                                                | arcade   |
| 30093 | pekoc818                        | Player's Edge Plus (PP0818 A5W-A6F) Joker Poker (Aces or Better)                                                                                                       | arcade   |
| 30094 | pekoc819                        | Player's Edge Plus (PP0819 A5W-A6F) Bonus Poker Deluxe                                                                                                                 | arcade   |
| 35845 | pekoc822                        | Player's Edge Plus (PP0822 A5W-A6F) Standard Draw Poker                                                                                                                | arcade   |
| 30095 | pekoc825                        | Player's Edge Plus (PP0825 A59-A7C) White Hot Aces                                                                                                                     | arcade   |
| 36516 | pelipete                        | Pelican Pete (10177511, NSW/ACT)                                                                                                                                       | arcade   |
| 46110 | pelipetea                       | Pelican Pete (10196211, ASP)                                                                                                                                           | arcade   |
| 40096 | pelipetejc                      | Pelican Pete - Jackpot Carnival (10226711, Queensland)                                                                                                                 | arcade   |
| 36517 | pelipeteu                       | Pelican Pete (0252555, US)                                                                                                                                             | arcade   |
